ID,Nombre,Categoria,Direccion,Telefono,WhatsApp_Clean,Tipo_Web,URL_Web,Redes_Sociales,Propuesta_LP,Estado,Prioridad,Pitch_Personalizado,Historial_Notas,Fecha_Registro
b13,TIENDASTORES,Tienda de alimentacion,"Cra. 112A #75C-09, Engativa",+57 18116587,5718116587,no-web,,WhatsApp: https://wa.me/5718116587,,Pendiente,Tibio,,,2026-09-04
b14,Tienda El Palmar,Tienda de alimentacion,"Cra. 89A #83-C, Engativa",+57 14633760,5714633760,no-web,,WhatsApp: https://wa.me/5714633760,,Pendiente,Tibio,,,2026-09-04
b15,Tienda (Tv. 94 L),Tienda de alimentacion,"Tv. 94 L #80-39, Engativa",+57 12289192,5712289192,no-web,,WhatsApp: https://wa.me/5712289192,,Pendiente,Tibio,,,2026-09-04
b16,Tienda La Vina,Tienda de alimentacion,"Cra. 71d #72 B, Bogota",+57 301 2034240,573012034240,no-web,,WhatsApp: https://wa.me/573012034240,,Pendiente,Tibio,,,2026-09-04
b17,Tienda De La Carrera 91,Tienda de alimentacion,"Av. Cra. 91 #147 B 91, Suba",+57 16810306,5716810306,no-web,,WhatsApp: https://wa.me/5716810306,,Pendiente,Tibio,,,2026-09-04
b18,AKA,Moda y Accesorios,"Centro Mayor Local 1-016, Bogotá",+57 311 595 3856,573115953856,social-only,https://instagram.com/tiendasaka,WhatsApp: https://wa.me/573115953856 | Instagram: https://instagram.com/tiendasaka,,Pendiente,Tibio,,,2026-09-04
b19,La Tienda Favorita,Tienda de regalos,"Carrera 92 # 64C 59, Bogota",+57 317 4030580,573174030580,no-web,,WhatsApp: https://wa.me/573174030580,,Pendiente,Tibio,,,2026-09-04
b20,Shaloom Boutique y Accesorios,Boutique / Ropa Mujer,"Carrera 104a #20-33 Of 306, Fontibón",+57 1 415 0091,5714150091,social-only,,WhatsApp: https://wa.me/5714150091,,Pendiente,Tibio,,,2026-09-04
b21,Seventh,Ropa Formal Mujer,"CC Hacienda Santa Bárbara Local D211, Usaquén",+57 1 612 2281,5716122281,no-web,,WhatsApp: https://wa.me/5716122281,,Pendiente,Tibio,,,2026-09-04
b22,Maria Mulata,Ropa Rockera / Alternativa,"Calle 140 #9-69, Feria artesanal Local ñ12, Bogotá",+57 305 429 9909,573054299909,social-only,,WhatsApp: https://wa.me/573054299909,,Pendiente,Tibio,,,2026-09-04
b23,Restaurante Azul Clarito,Restaurante,"Cl. 86 #103 d 07, Bogota",+57 304 3333626,573043333626,no-web,,WhatsApp: https://wa.me/573043333626,,Pendiente,Tibio,,,2026-09-04
b24,Stacia Store,Tienda de Ropa,"Calle 22 #14-53, Bogotá",+57 300 478 0637,573004780637,social-only,https://instagram.com/stacia_store,WhatsApp: https://wa.me/573004780637 | Instagram: https://instagram.com/stacia_store,https://lp-stacia-store.vercel.app,Pendiente,Tibio,,,2026-09-04
b25,Somo Ilius,Ropa Unisex,"Barrio Perdomo, Bogotá",+57 322 374 4097,573223744097,social-only,https://instagram.com/ilius1_,WhatsApp: https://wa.me/573223744097 | Instagram: https://instagram.com/ilius1_,,Pendiente,Tibio,,,2026-09-04
b30,Restaurante Buque Gourmet,Restaurante,"Cl. 22b # 42-15, Bogota",+57 314 3429820,573143429820,social-only,https://instagram.com/restaurantebuque,WhatsApp: https://wa.me/573143429820 | Instagram: https://instagram.com/restaurantebuque,,Pendiente,Tibio,,,2026-09-04
b31,Restaurante Luna de Paris,Restaurante,"Cl. 86 #103d - 19, Engativa",+57 310 3091475,573103091475,social-only,https://www.facebook.com/lunadeparisgourmet,WhatsApp: https://wa.me/573103091475 | Facebook: https://www.facebook.com/lunadeparisgourmet,,Pendiente,Tibio,,,2026-09-04
b32,La nostra famiglia,Restaurante italiano,"Tv. 96a #76b-81, Engativa",+57 320 2002512,573202002512,social-only,https://wa.me/message/RZNR3TPBASSHO1,WhatsApp: https://wa.me/573202002512,,Pendiente,Tibio,,,2026-09-04
b33,Gothic Store,Ropa Gótica / Alternativa,"Engativá, Bogotá",+57 304 497 4326,573044974326,social-only,https://facebook.com/GothicStoreBogota,WhatsApp: https://wa.me/573044974326 | Facebook: https://facebook.com/GothicStoreBogota,,Pendiente,Tibio,,,2026-09-04
b34,Bocatoma Comida Casual,Restaurante,"Tv. 113f #67b09, Bogota",+57 311 2462241,573112462241,social-only,http://facebook.com/profile.php?id=843410249106742,WhatsApp: https://wa.me/573112462241 | Facebook: http://facebook.com/profile.php?id=843410249106742,,Pendiente,Tibio,,,2026-09-04
b36,Restaurante Saira,Restaurante,"Cl. 9 #78-43, Bogota",+57 302 3280777,573023280777,has-web,http://www.restaurantesaira.com/,WhatsApp: https://wa.me/573023280777,,Pendiente,Tibio,,,2026-09-04
b37,IL NONNO Trattoria de Barrio,Restaurante italiano,"Dg. 81g #76 b 03, Engativa",+57 304 6578373,573046578373,has-web,http://www.ilnonno.co/,WhatsApp: https://wa.me/573046578373,,Pendiente,Tibio,,,2026-09-04
b38,Violeta Inesperada,Boutique Vintage / Ropa,Bogotá,+57 319 381 4367,573193814367,social-only,,WhatsApp: https://wa.me/573193814367,,Pendiente,Tibio,,,2026-09-04
b39,Avril Boutique,Boutique de Moda,"Calle 156 #7C-44, Bogotá",+57 319 318 3824,573193183824,social-only,,WhatsApp: https://wa.me/573193183824,,Pendiente,Tibio,,,2026-09-04
b40,Amatita Bisutería,Bisutería Artesanal,"Calle 147 101-57 Local 240, CC Fiesta Suba",+57 321 393 2805,573213932805,social-only,,WhatsApp: https://wa.me/573213932805,,Pendiente,Tibio,,,2026-09-04
b41,Inrya - Ropa Hindú,Ropa Hindú / Moda Oriental,"Cra. 58 #137B-01, CC Porto Alegre Local 123, Bogotá",+57 312 341 5807,573123415807,has-web,https://inrya.ueniweb.com,WhatsApp: https://wa.me/573123415807,,Pendiente,Tibio,,,2026-09-04
b50,ZeQueda Paellas,Paellas a Domicilio,"Bogotá (envíos a Bogotá, Chía y Sabana Norte)",+57 322 436 6350,573224366350,has-web,https://zequedapaellas.com/,WhatsApp: https://wa.me/573224366350,https://lp-zequeda-paellas.vercel.app,Pendiente,Tibio,,,2026-09-04
b51,Lechonería La Exquisita,Lechonería,"Calle 28sur #18a-70, Bogotá",+57 317 522 4626,573175224626,has-web,https://lechonadomicilio.com/,WhatsApp: https://wa.me/573175224626,,Pendiente,Tibio,,,2026-09-04
b52,Naguara Lunch,Comida Rápida Venezolana,"Carrera 23c #32-46 Sur, Bogotá",+57 323 735 1526,573237351526,has-web,https://pepitosng.com/,WhatsApp: https://wa.me/573237351526,,Pendiente,Tibio,,,2026-09-04
b53,Café Monstruo,Cafetería / Pizzería,"Carrera 18 #84-84, Bogotá",+57 311 261 5249,573112615249,has-web,https://cafemonstruo.com/,WhatsApp: https://wa.me/573112615249,,Pendiente,Tibio,,,2026-09-04
b54,Pizzardi Artigianale,Pizzería,"Calle 81 #11-17, Bogotá",+57 310 221 1729,573102211729,has-web,https://www.pizzardi.com.co/,WhatsApp: https://wa.me/573102211729,,Pendiente,Tibio,,,2026-09-04
b55,Diestro Restaurante,Restaurante (Comida Española),Bogotá (norte),+57 310 879 1933,573108791933,has-web,https://diestrorestaurante.com/,WhatsApp: https://wa.me/573108791933,,Pendiente,Tibio,,,2026-09-04
b56,La Churrasquería Beef & Wine,Parrilla,"Calle 69 #10A-35, Quinta Camacho, Bogotá",+57 319 538 4563,573195384563,has-web,https://lachurrasqueria.com/,WhatsApp: https://wa.me/573195384563,https://lp-la-churrasqueria.vercel.app,Pendiente,Tibio,,,2026-09-04
b57,Don Jediondo Sopitas y Parrilla,Restaurante (Comida Tradicional Colombiana),"Carrera 59b #79b-50, Bogotá",+57 311 491 1522,573114911522,has-web,https://donjediondo.com/,WhatsApp: https://wa.me/573114911522,,Pendiente,Tibio,,,2026-09-04
b58,La Puerta de la Catedral,Restaurante (Cocina Colombiana),"Calle 11 #6-16, La Candelaria, Bogotá",+57 316 405 1805,573164051805,has-web,https://www.lapuertadelacatedral.com/,WhatsApp: https://wa.me/573164051805,,Pendiente,Tibio,,,2026-09-04
b59,Tamalechona,Comida Típica (Lechona y Tamales),"Calle 77 #100B-28, Bogotá",+57 322 785 0936,573227850936,has-web,https://tamalechona.com/,WhatsApp: https://wa.me/573227850936,,Pendiente,Tibio,,,2026-09-04
b60,El Rey de la Lechona,Lechonería,"Av. Caracas 28b-37 Sur, Barrio Olaya, Bogotá",+57 314 379 9074,573143799074,has-web,https://elreydelalechona.co/,WhatsApp: https://wa.me/573143799074,,Pendiente,Tibio,,,2026-09-04
b61,Roerik Café y Pizzería,Cafetería / Pizzería,"Calle 174a #49B-06, Suba, Bogotá",+57 1 674 3901,5716743901,has-web,https://roerik.com/,WhatsApp: https://wa.me/5716743901,,Pendiente,Tibio,,,2026-09-04
b62,Bella Suiza Panadería y Pastelería,Panadería / Pastelería,"Calle 132 #7A-91, Bella Suiza, Bogotá",+57 314 356 0172,573143560172,has-web,https://www.panaderiabellasuiza.com/,WhatsApp: https://wa.me/573143560172,,Pendiente,Tibio,,,2026-09-04
b63,XL Gourmet,Comida Rápida (Hamburguesas),"Calle 8va Sur #32D-12, Ciudad Montes, Bogotá",+57 320 803 2421,573208032421,has-web,https://www.xlgourmet.com/,WhatsApp: https://wa.me/573208032421,,Pendiente,Tibio,,,2026-09-04
b64,Gustavo Parra Design,Alquiler de Trajes / Smoking,"Tv. 76 #84-25, Bogotá",+57 301 619 3899,573016193899,has-web,https://gustavoparradesign.com,WhatsApp: https://wa.me/573016193899,https://lp-gustavo-parra.vercel.app,Pendiente,Tibio,,,2026-09-04
b65,Elegance Sastrería,Sastrería / Alquiler Smoking,"Cl. 127D #58-12, Bogotá",+57 311 539 8539,573115398539,has-web,https://elegancesastreria.com,WhatsApp: https://wa.me/573115398539,,Pendiente,Tibio,,,2026-09-04
b66,BeneFit Ropa Tallas Grandes,Ropa Mujer Tallas Grandes,"Cl. 109 #18C-10, Bogotá",+57 300 203 5911,573002035911,has-web,http://www.b-fit.com.co,WhatsApp: https://wa.me/573002035911,https://lp-benefit.vercel.app,Pendiente,Tibio,,,2026-09-04
b67,Jenne Riveros Designer,Vestidos de Novia,"Cra. 58 128B-21, Bogotá",+57 321 218 3037,573212183037,has-web,https://vestidosdenovia.company.site,WhatsApp: https://wa.me/573212183037,https://lp-jenne-riveros.vercel.app,Pendiente,Tibio,,,2026-09-04
b68,Alquiler Smoking Bogotá,Alquiler de Smoking / Trajes,Bogotá,+57 301 625 6476,573016256476,has-web,https://alquilersmokingbogota.com,WhatsApp: https://wa.me/573016256476,,Pendiente,Tibio,,,2026-09-04
b69,Click2Dress,Alquiler de Vestidos de Fiesta,"Cl. 93B #11A-84 Local 302, CC Portobelo, Bogotá",+57 320 948 1061,573209481061,has-web,https://click2dress.com,WhatsApp: https://wa.me/573209481061 | Instagram: https://www.instagram.com/click2dress/ | Facebook: https://www.facebook.com/alquilerdevestidosclick2dress/,,Pendiente,Tibio,,,2026-09-04
b70,Paola Dimaya Alta Costura,Alquiler Trajes de Etiqueta,"Cra. 13A #88-55, Bogotá",+57 301 625 6476,573016256476,has-web,https://www.paoladimaya.com,WhatsApp: https://wa.me/573016256476 | WhatsApp: https://wa.me/573182004949,https://lp-paola-dimaya.vercel.app,Pendiente,Tibio,,,2026-09-04
b71,Sarta & Bguest,Alquiler de Vestidos,"Cra. 11A #95-15, Bogotá",+57 313 870 7291,573138707291,has-web,https://sarta-bguest.com,WhatsApp: https://wa.me/573138707291 | Instagram: https://instagram.com/sartavestidos | Instagram: https://instagram.com/bguest.co,https://lp-sarta-bguest.vercel.app,Pendiente,Tibio,,,2026-09-04
b72,Cherie Boutique,Boutique / Ropa Mujer,"CR. 15 #123-30, CC Unicentro Local 2-109, Bogotá",+57 315 863 1774,573158631774,has-web,https://cherie.com.co,WhatsApp: https://wa.me/573158631774 | Instagram: https://instagram.com/cheriemoda,,Pendiente,Tibio,,,2026-09-04
b73,By Caicedo,Ropa Mujer / Moda Femenina,Bogotá,+57 300 856 3936,573008563936,has-web,https://bycaicedo.com,WhatsApp: https://wa.me/573008563936 | Instagram: https://www.instagram.com/bycaicedo/ | Facebook: https://web.facebook.com/bycaicedo/,https://lp-karissa-moda.vercel.app,Pendiente,Tibio,,,2026-09-04
b74,Karissa Moda,Ropa Mujer / Moda Femenina,"Cra. 11 #10-27, Bogotá",+57 311 353 6499,573113536499,has-web,https://karissamoda.com,WhatsApp (principal): https://wa.me/573113536499 | Instagram: https://www.instagram.com/karissa_moda/ | Facebook: https://www.facebook.com/profile.php?id=61573952170844 | TikTok: https://www.tiktok.com/@_karissa4 | Telegram: https://t.me/+gEb2zBv5LOo0YmE5 | WhatsApp (mayorista): https://wa.me/573134399687 | WhatsApp (alterno): https://wa.me/573144122015 | Beaconsai: https://beaconsai.com/karissamoda,https://lp-karissa-moda.vercel.app,Pendiente,Tibio,,,2026-09-04
b75,Alison Ropa Tejida,Ropa Tejida / Suéteres,"Cra. 25 #73-33, Bogotá",+57 1 630 7871,5716307871,has-web,https://alison.com.co,WhatsApp: https://wa.me/5716307871,,Pendiente,Tibio,,,2026-09-04
b76,Zigzag Design For Men,Trajes Hombre / Alquiler,"Calle 60 #9-87 Local 987, CC Aquarium, Bogotá",+57 312 553 9406,573125539406,has-web,https://zigzagdesignformen.com.co,WhatsApp: https://wa.me/573125539406 | Facebook: https://www.facebook.com/zigzagdesignconfecciones2015 | Instagram: https://www.instagram.com/zigzag_design_slimfit/ | TikTok: https://www.tiktok.com/@zigzagdesignmodaslimfit,,Pendiente,Tibio,,,2026-09-04
b77,Bettina Spitz María Antonieta,Ropa Mujer / Alta Costura,"Calle 84A #12-18, Bogotá",+57 322 749 0834,573227490834,has-web,https://bettinaspitz.com,WhatsApp: https://wa.me/573227490834 | Instagram: https://www.instagram.com/bettinaspitz/ | Facebook: https://www.facebook.com/bettinaspitzmoda/ | TikTok: https://www.tiktok.com/@bettinaspitzbogota,,Pendiente,Tibio,,,2026-09-04
b78,Karol Nails Beauty Expert,Centro de Estética,"Cra. 75 #24-24, Fontibón, Bogotá",+57 320 7741284,573207741284,has-web,https://linktr.ee/Karol_nails31,WhatsApp: https://wa.me/573207741284,,Pendiente,Tibio,,,2026-09-04
b79,Candy nails by Sharon Narvaez,Salón de Manicura y Pedicura,"Cl. 69 #10a-29, Bogotá",+57 302 3199887,573023199887,no-web,,WhatsApp: https://wa.me/573023199887,,Pendiente,Tibio,,,2026-09-04
b80,Magic Nails Pasadena,Salón de Manicura y Pedicura,"Cra. 53 #102a-46, Bogotá",+57 323 8139069,573238139069,no-web,,WhatsApp: https://wa.me/573238139069,,Pendiente,Tibio,,,2026-09-04
b81,NELEH BEAUTY SERVICE,Salón de Manicura y Pedicura,"Cra. 18 #51-35, Teusaquillo, Bogotá",+57 300 1239231,573001239231,social-only,https://www.instagram.com/neleh.sb/,WhatsApp: https://wa.me/573001239231 | Instagram: https://www.instagram.com/neleh.sb/,https://lp-neleh-beauty.vercel.app,Pendiente,Tibio,,,2026-09-04
b82,Magic Nails Parque 93,Salón de Manicura y Pedicura,"Cl 93b #13-10, Chapinero, Bogotá",+57 350 5754007,573505754007,has-web,https://www.tumagicnails.com/index.php/reservas/,WhatsApp: https://wa.me/573505754007 | Instagram: https://www.instagram.com/magic_nailsls | Facebook: https://www.facebook.com/profile.php?id=100063567043811,,Pendiente,Tibio,,,2026-09-04
b83,Super Wow Calle 105 - Spa de uñas,Salón de Manicura y Pedicura,"Cra 19 #105-44, Bogotá",+57 321 3815261,573213815261,has-web,https://superwow.com.co/sedes/super-wow-calle-105/,WhatsApp: https://wa.me/573213815261 | Instagram: https://www.instagram.com/superwownails | Facebook: https://www.facebook.com/superwownails | TikTok: https://www.tiktok.com/@superwownails,,Pendiente,Tibio,,,2026-09-04
b84,Magic Nails Zona G,Salón de Manicura y Pedicura,"Cl. 68 #4A-19, Chapinero, Bogotá",+57 316 1851473,573161851473,no-web,,WhatsApp: https://wa.me/573161851473,,Pendiente,Tibio,,,2026-09-04
b85,Mistú Nails & Wellness,Centro de Estética,"Cra. 16 #93-11 Local 101, Chapinero, Bogotá",+57 322 8710848,573228710848,no-web,,WhatsApp: https://wa.me/573228710848,,Pendiente,Tibio,,,2026-09-04
b86,Ooh Lala nails studio,Salón de Manicura y Pedicura,"Parque de la 93, Cra. 14#90-20 Local 7, Bogotá",+57 312 3153790,573123153790,has-web,http://reservas.lizto.co/ooh_lala_nails-gb,WhatsApp: https://wa.me/573123153790,,Pendiente,Tibio,,,2026-09-04
b87,ANTO Nails,Salón de Manicura y Pedicura,"Cl. 94 #11a-48, Bogotá",+57 322 5545957,573225545957,no-web,,WhatsApp: https://wa.me/573225545957,,Pendiente,Tibio,,,2026-09-04
b88,Meraki Nails Spa,Centro de Estética,"Av. La Esperanza #44a-21, Teusaquillo, Bogotá",+57 310 7821647,573107821647,social-only,https://www.instagram.com/meraki.spadeunas/,WhatsApp: https://wa.me/573107821647 | Instagram: https://www.instagram.com/meraki.spadeunas/,https://lp-meraki-nails.vercel.app,Pendiente,Tibio,,,2026-09-04
b89,Spa La Celestina Bogotá,Centro de Estética,"Centro Comercial San Martín, Ak 7 #32-16 Locales 108A-137-138, Bogotá",+57 310 6046541,573106046541,has-web,https://lacelestina.site.agendapro.com/co/sucursal/29133,WhatsApp: https://wa.me/573106046541 | Instagram: https://www.instagram.com/agendapro_software | Facebook: https://www.facebook.com/agendapro,,Pendiente,Tibio,,,2026-09-04
b90,Rose Studio Vip Nails Spa,Salón de Manicura y Pedicura,"Cl. 65 #10-36, Bogotá",+57 316 1321177,573161321177,no-web,,WhatsApp: https://wa.me/573161321177,,Pendiente,Tibio,,,2026-09-04
b91,HOLA GUAPA NAILS AND SPA,Centro de Estética,"Cerca al Parque de la 93, Cl 93b #16-08 Local 102, Chapinero, Bogotá",+57 312 5798379,573125798379,has-web,https://linktr.ee/holaguapanailsandspa,WhatsApp: https://wa.me/573125798379,,Pendiente,Tibio,,,2026-09-04
b92,Free Nails Spa Zona Rosa,Centro de Estética,"Kr 13 #82-49 Loc 113, Chapinero, Bogotá",+57 319 6594961,573196594961,social-only,https://instagram.com/freenails_spa,WhatsApp: https://wa.me/573196594961 | Instagram: https://instagram.com/freenails_spa,https://lp-free-nails-spa.vercel.app,Pendiente,Tibio,,,2026-09-04
b93,Mi manicurista,Centro de Estética,"A domicilio en Cra. 11 #93-62, Bogotá",+57 300 2075709,573002075709,has-web,https://www.mimanicurista.com/,WhatsApp: https://wa.me/573002075709 | Instagram: https://www.instagram.com/mimanicurista | Facebook: https://facebook.com/mimanicurista1,,Pendiente,Tibio,,,2026-09-04
b94,SENSEBENE,Salón de Manicura y Pedicura,"Cra. 11 #95-79 Local 2, Chapinero, Bogotá",+57 322 3586131,573223586131,has-web,http://sensebene.co/stores/sensebene-chico/,WhatsApp: https://wa.me/573223586131,,Pendiente,Tibio,,,2026-09-04
b95,SECRETO DE UÑAS,Salón de Manicura y Pedicura,"Cra 20 #58-08, Teusaquillo, Bogotá",+57 350 4997620,573504997620,social-only,https://www.instagram.com/secretodeunas17/,WhatsApp: https://wa.me/573504997620 | Instagram: https://www.instagram.com/secretodeunas17/,,Pendiente,Tibio,,,2026-09-04
b96,La Emperatriz De Las Uñas,Tienda de Productos de Belleza,"Ak 15 #84A-24 Loc 105, Chapinero, Bogotá",+57 305 4247671,573054247671,has-web,http://laemperatriznailboutique.com/,WhatsApp: https://wa.me/573054247671,,Pendiente,Tibio,,,2026-09-04
b97,Happy Nails & Spa Sede Chapinero,Spa,"Kr 13 #58-89, Chapinero, Bogotá",+57 302 8671024,573028671024,has-web,https://happynailsspa18.com/726-2/,WhatsApp: https://wa.me/573028671024 | Instagram: https://www.instagram.com/happynailsspa18 | Facebook: https://www.facebook.com/share | TikTok: https://www.tiktok.com/@happynailsspa18,,Pendiente,Tibio,,,2026-09-04
b98,OBA Consultorio Odontológico,Consultorio Odontológico,"Cra. 19 #102 – 53 Consultorio 518, Usaquén, Bogotá",+57 319 731 4116,573197314116,has-web,https://obaconsultorio.com/,WhatsApp: https://wa.me/573197314116 | Instagram: https://www.instagram.com/oba_consultorio/ | Facebook: https://www.facebook.com/people/Consultorio-Odontológico-Boulevard/100063563560668/?locale=es_LA,,Pendiente,Tibio,,,2026-09-04
b99,Consultorio Odontológico Dani-Dent,Consultorio Odontológico,"Calle 24 No. 11-73 Sur, San José, Bogotá D.C.",(601) 272-6106,576012726106,no-web,,WhatsApp: https://wa.me/576012726106,,Pendiente,Tibio,,,2026-09-04
b100,Consultorio Odontológico Dr. Amauri Ariza Moreno,Consultorio Odontológico,"Carrera 13 38-86 Consult 208, Bogotá D.C.",(1) 2328946,5712328946,no-web,,WhatsApp: https://wa.me/5712328946,,Pendiente,Tibio,,,2026-09-04
b101,Consultorio Odontológico Dra. Tatiana Amórtegui,Consultorio Odontológico,"Cra. 14 No. 98-95 Consl 204, Chicó, Bogotá D.C.",(601) 610-7279,576016107279,no-web,,WhatsApp: https://wa.me/576016107279,,Pendiente,Tibio,,,2026-09-04
b102,Consultorio Odontológico Integral,Consultorio Odontológico,"Carrera 17#50-77, Bogotá, Cundinamarca",+57 322 446 0316,573224460316,has-web,https://consultoriodontologicointegral.com/,WhatsApp: https://wa.me/573224460316 | Instagram: https://www.instagram.com/consultoriodontologicointegral/,,Pendiente,Tibio,,,2026-09-04
b103,Clínicas Dentales Colsanitas,Clínica Dental,"Varía por sede, Bogotá",+57 (310) 3107676,573103107676,has-web,https://www.colsanitas.com/en/red-de-atencion/clinicas-dentales-colsanitas,WhatsApp: https://wa.me/573103107676 | Facebook: https://www.facebook.com/dentalnetwork/,,Pendiente,Tibio,,,2026-09-04
b104,Clínica Dental Bogotá - Centro médico Dalí Chicó norte,Clínica Dental,"Cra. 18 #80 06, Chapinero, Bogotá",+57 318 643 7326,573186437326,has-web,https://periodoncistajohannacalderon.com/locations/consultorio-odontologico-en-bogota/,WhatsApp: https://wa.me/573186437326 | Instagram: https://www.instagram.com/periodoncista_johanna_calderon/ | Facebook: https://www.facebook.com/DraJohannaCalderon,https://lp-clinica-dental-dali.vercel.app,Pendiente,Tibio,,,2026-09-04
b105,Clínica Dental Odontología Estética Bogotá | Dra. María Marín,Clínica Dental,"Bogotá, Dirección específica no proporcionada",No proporcionado en resultados,,has-web,https://odontologamariamarin.com/,Instagram: No encontrado en resultados,,Pendiente,Tibio,,,2026-09-04
b106,Consultorio Odontológico Dr. José Emanuel Rodríguez David,Consultorio Odontológico,"Calle B, 22000 La Romana, República Dominicana",+1-809-349-4106,18093494106,has-web,https://www.yellowpages.do/phone-1-8093494106-dentista-La-Romana-DOEN67172.html,WhatsApp: https://wa.me/18093494106,,Pendiente,Tibio,,,2026-09-04
b107,Consultorio Dental Sonrisas Sanas.,Consultorio Dental,"Cochabamba, Bolivia",No proporcionado en resultados,,has-web,https://www.findhealthclinics.org/BO/Cochabamba/161834184023707/Consultorio-Dental-Sonrisas-Sanas.,,,Pendiente,Tibio,,,2026-09-04
b128,OBA Consultorio Odontológico,Consultorio Odontológico,"Cra. 19 #102 – 53 Consultorio 518, Bogotá",+57 319 731 4116,573197314116,has-web,https://obaconsultorio.com/,WhatsApp: https://wa.me/573197314116 | Instagram: https://www.instagram.com/oba_consultorio/ | Facebook: https://www.facebook.com/oba_consultorio/,,Pendiente,Tibio,,,2026-09-04
b129,Consultorio Odontológico Integral,Consultorio Odontológico,"Carrera 17#50-77 Bogotá, Cundinamarca",+57 322 446 0316,573224460316,has-web,https://consultoriodontologicointegral.com/,WhatsApp: https://wa.me/573224460316 | Instagram: https://www.instagram.com/consultoriodontologicointegral/ | TikTok: https://www.tiktok.com/@consultoriodontologicointegral,,Pendiente,Tibio,,,2026-09-04
b130,La Clínica Dental Bogotá,Clínica Dental,"Cra. 18 #82-39, Localidad de Chapinero, Bogotá, Cundinamarca, Colombia",+57 601 918 2220,576019182220,has-web,https://laclinicadental.com.co/,WhatsApp: https://wa.me/576019182220,,Pendiente,Tibio,,,2026-09-04
b131,Consultorio Odontológico Kennedy,Consultorio Odontológico,Calle 42 S 78 H-35 Bogotá,+57 601 450 4680,576014504680,has-web,https://www.clinicaodontologicakennedy.com/,WhatsApp: https://wa.me/573116185086,,Pendiente,Tibio,,,2026-09-04
b132,Sonrisas Dental Spa (Odontología de urgencias),Clínica Dental,"Chapinero, Bogotá",+57 300 755 9918,573007559918,has-web,https://www.smiledentalspacenter.com/,WhatsApp: https://wa.me/573007559918 | Instagram: https://www.instagram.com/ortodonciadianaburbano/,https://lp-sonrisas-dental-spa.vercel.app,Pendiente,Tibio,,,2026-09-04
b133,Clínica Odontológica Protección Oral,Clínica Odontológica,Sede Norte y Sur en Bogotá,+57 310 450 4680,573104504680,has-web,https://proteccionoral.com/,WhatsApp: https://wa.me/573104504680,,Pendiente,Tibio,,,2026-09-04
